"Ruta","Pop","X","Y","KNKOD","KNNAMN"
46590004007000,175,551222,6545088,428,"Vingker"
46290004267000,2,540623,6807028,2121,"Ovanker"
46900004250000,6,599991,6785781,2182,"Sderhamn"
44830003834000,19,363327,6384787,1490,"Bors"
47460004137000,2,647353,6668971,380,"Uppsala"
45250003796000,4,402395,6343862,662,"Gislaved"
45490004334000,18,466187,6879738,2361,"Hrjedalen"
46230003941000,6,510555,6481696,583,"Motala"
46670003967000,1,556263,6504588,581,"Norrkping"
46960003912000,1,581141,6447669,563,"Valdemarsvik"
46880004125000,22,588753,6660958,1981,"Sala"
47610004049000,23,655847,6580021,125,"Eker"
48700004828000,10,821979,7353315,2580,"Lule"
46910004163000,1,594541,6698729,2181,"Sandviken"
46850004065000,10,581355,6601217,1980,"Vsters"
46400004316000,32,555222,6855273,2161,"Ljusdal"
46100004155000,7,513385,6696383,2081,"Borlnge"
47700004136000,55,671169,6666342,382,"sthammar"
47180003884000,1,601030,6418204,883,"Vstervik"
46870004201000,5,593373,6736992,2181,"Sandviken"
45960004118000,3,496715,6660392,2085,"Ludvika"
45880003810000,1,466168,6353388,684,"Svsj"
45450004033000,6,439682,6579087,1781,"Kristinehamn"
45110003918000,5,397363,6466657,1470,"Vara"
44780003909000,14,363845,6460036,1444,"Grstorp"
44690004020000,2,363094,6571565,1785,"Sffle"
46570003715000,25,528078,6253785,1080,"Karlskrona"
46840004004000,12,575891,6540357,483,"Katrineholm"
44340004078000,13,332598,6632079,1730,"Eda"
45640003660000,10,431450,6205405,1290,"Kristianstad"
46240004594000,4,560387,7134820,2425,"Dorotea"
46750004472000,27,601712,7009004,2283,"Sollefte"
46440004197000,29,550316,6735981,2080,"Falun"
46470003911000,2,532266,6450069,513,"Kinda"
45050003843000,20,385896,6392201,1490,"Bors"
46080003701000,5,478240,6243228,1060,"Olofstrm"
45120003807000,15,390245,6355765,1465,"Svenljunga"
46380004019000,7,531199,6558537,1880,"rebro"
47240003768000,11,598656,6302033,885,"Borgholm"
45000003708000,112,371117,6257808,1381,"Laholm"
46630004112000,2,562921,6649701,1981,"Sala"
45890004052000,3,484866,6594943,1884,"Nora"
46590003904000,4,543708,6442246,513,"Kinda"
45960004540000,6,528499,7082668,2313,"Strmsund"
46240004072000,2,521167,6612459,1885,"Lindesberg"
47360004093000,25,634172,6625684,380,"Uppsala"
44460003858000,27,328231,6411410,1480,"Gteborg"
45770003687000,6,446341,6231429,1256,"stra Ginge"
47090004458000,7,634411,6992643,2282,"Kramfors"
46470004000000,11,538764,6538933,562,"Finspng"
45360003646000,6,402540,6193403,1267,"Hr"
46760003858000,3,557306,6395152,884,"Vimmerby"
45440003618000,62,408512,6164908,1265,"Sjbo"
45230004024000,10,417125,6571669,1761,"Hammar"
46950004292000,27,608086,6827445,2184,"Hudiksvall"
45910003691000,1,460580,6234440,1290,"Kristianstad"
45950003748000,15,468663,6291028,764,"Alvesta"
44760003837000,19,356574,6388284,1463,"Mark"
44490004084000,22,347970,6636979,1730,"Eda"
46020003773000,14,477440,6315483,764,"Alvesta"
47270003731000,30,598998,6264914,840,"Mrbylnga"
45840004118000,2,484779,6661242,1864,"Ljusnarsberg"
44530003955000,4,342349,6507786,1461,"Mellerud"
45240003937000,17,411701,6484701,1471,"Gtene"
45280003874000,216,411066,6421511,1491,"Ulricehamn"
48220004558000,259,754114,7085290,2480,"Ume"
44320003856000,25,314140,6410424,1480,"Gteborg"
45770003862000,96,458988,6406062,680,"Jnkping"
49590004808000,5,908788,7327706,2583,"Haparanda"
46940003723000,1,565530,6259206,834,"Torss"
45870004012000,60,479926,6555129,1814,"Lekeberg"
47130004728000,2,658817,7263111,2418,"Mal"
44320004019000,1,326200,6573259,1765,"rjng"
47480004074000,27,644728,6605882,305,"Hbo"
46710003792000,4,547560,6329636,821,"Hgsby"
45420003714000,5,413403,6260827,767,"Markaryd"
47690004027000,7,662212,6557501,127,"Botkyrka"
45100003851000,4,391460,6399831,1490,"Bors"
45640003811000,11,442333,6356075,665,"Vaggeryd"
45630003648000,14,429595,6193503,1266,"Hrby"
47080004404000,26,629368,6938637,2262,"Timr"
44790003820000,13,358320,6371096,1463,"Mark"
44780004031000,5,372867,6581904,1785,"Sffle"
48130004670000,2,753570,7198239,2482,"Skellefte"
46970003989000,9,587739,6524479,483,"Katrineholm"
45730004230000,18,482198,6773985,2034,"Orsa"
44410003895000,25,325972,6448723,1462,"Lilla Edet"
46940004708000,6,638467,7244327,2422,"Sorsele"
47040003825000,2,582821,6360285,882,"Oskarshamn"
46880004468000,172,614315,7004100,2283,"Sollefte"
47040003812000,28,581884,6347312,882,"Oskarshamn"
44390003984000,6,330563,6537775,1438,"Dals-Ed"
44340003955000,4,323434,6509166,1439,"Frgelanda"
46500004079000,10,547553,6617634,1904,"Skinnskatteberg"
44210003915000,1,307531,6470152,1485,"Uddevalla"
46720003931000,8,558618,6468297,561,"tvidaberg"
46670003863000,5,548702,6400766,884,"Vimmerby"
46920004391000,5,612501,6926721,2281,"Sundsvall"
46240003832000,6,503623,6372821,685,"Vetlanda"
44710004064000,24,368360,6615387,1784,"Arvika"
44170003882000,2,301112,6437479,1419,"Tjrn"
47480004064000,25,643997,6595891,139,"Upplands-Bro"
48510004594000,11,785603,7119510,2409,"Robertsfors"
46320004699000,3,576363,7239584,2421,"Storuman"
45440004431000,2,468594,6977198,2326,"Berg"
45150004127000,24,416828,6675168,1783,"Hagfors"
46800004355000,1,597883,6891516,2132,"Nordanstig"
47950004591000,2,729775,7120158,2404,"Vindeln"
48140003857000,2,694768,6384709,980,"Gotland"
47450004442000,1,668965,6974171,2282,"Kramfors"
44820003802000,2,359996,6352912,1383,"Varberg"
46920003882000,4,574982,6418000,883,"Vstervik"
48560004668000,6,796094,7193449,2482,"Skellefte"
46560003932000,44,542757,6470407,580,"Linkping"
46660003733000,1,538338,6271118,862,"Emmaboda"
45450003651000,152,411869,6197759,1267,"Hr"
44470003905000,4,332683,6458277,1462,"Lilla Edet"
45050004337000,11,422721,6885924,2361,"Hrjedalen"
47040004077000,2,601146,6611894,1980,"Vsters"
45430004325000,5,459548,6871163,2361,"Hrjedalen"
45820003677000,4,450607,6221103,1290,"Kristianstad"
48890004807000,3,839245,7331007,2580,"Lule"
47060004267000,4,617162,6801682,2182,"Sderhamn"
44660004103000,1,366302,6654730,1784,"Arvika"
45540004079000,6,452044,6624403,1782,"Filipstad"
46850003950000,7,572947,6486366,582,"Sderkping"
45870003989000,5,478234,6532158,1860,"Lax"
46820003767000,4,556724,6303931,881,"Nybro"
44400003832000,5,320349,6385879,1480,"Gteborg"
47120004040000,6,606400,6574382,486,"Strngns"
46950003931000,47,581525,6466706,563,"Valdemarsvik"
45140003742000,17,387523,6290747,1380,"Halmstad"
48080004102000,354,706521,6629799,188,"Norrtlje"
47780004122000,3,678108,6651808,380,"Uppsala"
45080004026000,2,402347,6574744,1780,"Karlstad"
44940003788000,11,370932,6338080,1382,"Falkenberg"
47420004437000,11,665611,6969366,2282,"Kramfors"
44970003900000,622,382102,6449684,1470,"Vara"
45410003840000,18,421532,6386646,680,"Jnkping"
46700003816000,9,548293,6353654,860,"Hultsfred"
45030004370000,3,423248,6919100,2361,"Hrjedalen"
47600004517000,6,689478,7048299,2284,"rnskldsvik"
49560004811000,3,906032,7330905,2583,"Haparanda"
44820003772000,23,357814,6322965,1382,"Falkenberg"
45340003764000,4,409042,6311287,1315,"Hylte"
44820003810000,7,360579,6360898,1463,"Mark"
46610004509000,1,590615,7047040,2283,"Sollefte"
48510004641000,8,789112,7166669,2482,"Skellefte"
47070004027000,1,600471,6561741,482,"Flen"
46890003988000,1,579701,6524033,483,"Katrineholm"
45540003620000,2151,418623,6166202,1265,"Sjbo"
43980003971000,1,288783,6527782,1435,"Tanum"
47660004870000,1,722133,7402245,2510,"Jokkmokk"
47740004142000,7,675591,6672068,382,"sthammar"
46590004098000,1,557908,6635990,1907,"Surahammar"
46700003937000,87,557063,6474426,580,"Linkping"
47010004516000,8,630837,7051296,2284,"rnskldsvik"
44550003869000,8,338002,6421746,1440,"Ale"
